id,grp,day,size
101,1.CTR,0,41.8
101,1.CTR,3,85.0
101,1.CTR,4,114.0
101,1.CTR,5,162.3
101,1.CTR,6,178.3
101,1.CTR,7,325.0
101,1.CTR,10,623.7
101,1.CTR,11,648.4
101,1.CTR,12,835.9
101,1.CTR,13,1030.4
101,1.CTR,14,1141.8
101,1.CTR,17,1499.9
101,1.CTR,18,1429.3
101,1.CTR,19,1609.3
101,1.CTR,20,1678.3
101,1.CTR,21,1564.0
102,1.CTR,0,79.4
102,1.CTR,1,110.3
102,1.CTR,4,201.3
102,1.CTR,5,255.3
102,1.CTR,6,349.1
102,1.CTR,7,357.5
102,1.CTR,8,670.0
102,1.CTR,11,624.3
102,1.CTR,12,640.6
102,1.CTR,13,618.8
102,1.CTR,14,584.9
102,1.CTR,15,809.7
102,1.CTR,18,1249.7
102,1.CTR,19,1262.2
102,1.CTR,20,1336.8
102,1.CTR,21,1563.7
103,1.CTR,0,44.8
103,1.CTR,1,67.5
103,1.CTR,2,55.8
103,1.CTR,3,82.8
103,1.CTR,4,106.8
103,1.CTR,7,309.5
103,1.CTR,8,355.9
103,1.CTR,9,554.8
103,1.CTR,10,740.4
103,1.CTR,11,1012.1
103,1.CTR,14,1948.2
103,1.CTR,15,2405.7
104,1.CTR,0,67.7
104,1.CTR,1,92.4
104,1.CTR,2,77.7
104,1.CTR,3,107.4
104,1.CTR,4,147.1
104,1.CTR,7,226.1
104,1.CTR,8,285.3
104,1.CTR,9,541.5
104,1.CTR,10,551.9
104,1.CTR,11,609.8
104,1.CTR,14,1230.5
104,1.CTR,15,1839.6
104,1.CTR,16,1964.2
105,1.CTR,0,54.7
105,1.CTR,3,61.1
105,1.CTR,4,75.3
105,1.CTR,5,112.5
105,1.CTR,6,117.8
105,1.CTR,7,164.9
105,1.CTR,10,816.2
105,1.CTR,11,846.4
105,1.CTR,12,1403.6
105,1.CTR,13,1699.3
105,1.CTR,14,2162.8
106,1.CTR,0,60.0
106,1.CTR,1,74.2
106,1.CTR,2,98.9
106,1.CTR,3,103.3
106,1.CTR,4,106.4
106,1.CTR,7,166.3
106,1.CTR,8,269.2
106,1.CTR,9,478.4
106,1.CTR,10,356.4
106,1.CTR,11,498.8
106,1.CTR,14,915.8
106,1.CTR,15,1086.6
106,1.CTR,16,2125.1
107,1.CTR,0,46.8
107,1.CTR,4,162.6
107,1.CTR,5,264.5
107,1.CTR,6,253.1
107,1.CTR,7,419.3
107,1.CTR,11,1273.5
107,1.CTR,12,1712.0
107,1.CTR,13,2342.6
108,1.CTR,0,49.4
108,1.CTR,4,123.2
108,1.CTR,5,286.5
108,1.CTR,6,484.9
108,1.CTR,7,584.5
108,1.CTR,11,1581.9
108,1.CTR,12,1930.6
108,1.CTR,13,2295.9
201,2.D,0,49.1
201,2.D,3,65.6
201,2.D,4,88.9
201,2.D,5,135.4
201,2.D,6,171.9
201,2.D,7,177.3
201,2.D,10,388.0
201,2.D,11,466.7
201,2.D,12,557.0
201,2.D,13,455.5
201,2.D,14,624.1
201,2.D,18,995.2
201,2.D,19,1157.6
201,2.D,20,1069.7
201,2.D,21,1194.4
201,2.D,24,1725.8
201,2.D,25,1524.9
201,2.D,26,1737.7
201,2.D,27,1998.3
202,2.D,0,60.6
202,2.D,1,75.7
202,2.D,2,75.8
202,2.D,4,158.7
202,2.D,7,306.2
202,2.D,8,397.4
202,2.D,9,398.2
202,2.D,10,639.3
202,2.D,11,556.4
202,2.D,14,815.9
202,2.D,15,907.9
202,2.D,16,1104.2
202,2.D,17,1275.0
202,2.D,18,1290.9
202,2.D,22,2046.7
203,2.D,0,41.5
203,2.D,1,41.8
203,2.D,2,43.2
203,2.D,3,46.0
203,2.D,4,48.7
203,2.D,7,66.5
203,2.D,8,82.2
203,2.D,9,94.1
203,2.D,10,162.7
203,2.D,11,169.9
203,2.D,14,398.7
203,2.D,15,416.0
203,2.D,16,526.7
203,2.D,17,716.3
203,2.D,18,734.9
203,2.D,22,1938.5
204,2.D,0,46.8
204,2.D,1,46.4
204,2.D,2,48.8
204,2.D,3,56.7
204,2.D,4,113.9
204,2.D,7,231.8
204,2.D,8,318.3
204,2.D,9,413.1
204,2.D,10,747.4
204,2.D,11,700.4
204,2.D,14,1374.8
204,2.D,15,1374.1
204,2.D,16,1668.4
204,2.D,17,1598.4
204,2.D,18,1725.1
205,2.D,0,39.5
205,2.D,3,71.2
205,2.D,4,62.4
205,2.D,5,84.8
205,2.D,6,88.6
205,2.D,7,138.0
205,2.D,10,270.3
205,2.D,11,310.7
205,2.D,12,385.5
205,2.D,13,552.5
205,2.D,14,468.9
205,2.D,17,766.6
205,2.D,18,896.0
205,2.D,19,1279.0
205,2.D,20,1582.3
205,2.D,21,1701.4
206,2.D,0,53.5
206,2.D,1,41.2
206,2.D,2,52.2
206,2.D,3,61.6
206,2.D,4,77.1
206,2.D,7,102.8
206,2.D,8,85.9
206,2.D,9,70.3
206,2.D,10,105.2
206,2.D,11,129.9
206,2.D,14,291.3
206,2.D,15,315.4
206,2.D,16,322.5
206,2.D,18,768.1
206,2.D,22,1108.6
206,2.D,23,1321.0
206,2.D,24,1624.3
206,2.D,25,1853.5
207,2.D,0,43.5
207,2.D,1,50.2
207,2.D,2,56.5
207,2.D,5,87.0
207,2.D,6,53.5
207,2.D,7,38.5
207,2.D,8,69.1
207,2.D,9,46.3
207,2.D,12,66.5
207,2.D,13,62.4
207,2.D,14,83.6
207,2.D,15,102.6
207,2.D,16,100.9
207,2.D,19,163.0
207,2.D,20,172.4
207,2.D,21,162.5
207,2.D,23,223.7
207,2.D,27,416.0
207,2.D,28,445.2
208,2.D,0,64.4
208,2.D,1,63.9
208,2.D,2,76.3
208,2.D,3,85.8
208,2.D,4,186.3
208,2.D,7,291.9
208,2.D,8,381.9
208,2.D,9,469.5
208,2.D,10,590.2
208,2.D,11,782.9
208,2.D,14,1182.8
208,2.D,15,1194.7
208,2.D,16,1407.2
208,2.D,17,1677.7
208,2.D,18,1784.9
209,2.D,0,47.5
209,2.D,1,48.6
209,2.D,2,75.1
209,2.D,3,77.7
209,2.D,4,128.0
209,2.D,7,123.5
209,2.D,8,167.1
209,2.D,9,144.4
209,2.D,10,294.6
209,2.D,11,318.0
209,2.D,14,580.5
209,2.D,15,621.6
209,2.D,16,601.6
209,2.D,17,1066.5
209,2.D,18,981.1
209,2.D,21,1380.3
209,2.D,22,1507.9
209,2.D,23,1767.9
209,2.D,25,2269.3
210,2.D,0,71.7
210,2.D,3,134.0
210,2.D,4,172.2
210,2.D,5,247.4
210,2.D,6,239.4
210,2.D,9,604.9
210,2.D,10,538.2
210,2.D,11,583.5
210,2.D,12,664.8
210,2.D,13,743.5
210,2.D,16,1054.9
210,2.D,17,998.4
210,2.D,18,890.1
210,2.D,19,1203.9
210,2.D,20,1123.9
210,2.D,23,1302.3
210,2.D,24,1654.0
210,2.D,25,1697.6
210,2.D,27,2114.6
301,3.R,0,44.1
301,3.R,3,104.2
301,3.R,4,129.3
301,3.R,5,304.9
301,3.R,6,533.2
301,3.R,7,732.5
301,3.R,10,1083.6
301,3.R,11,1141.7
301,3.R,12,1751.9
301,3.R,13,2058.7
302,3.R,0,42.1
302,3.R,3,98.7
302,3.R,4,59.7
302,3.R,5,80.2
302,3.R,6,87.8
302,3.R,7,173.2
302,3.R,10,253.1
302,3.R,11,287.5
302,3.R,12,427.4
302,3.R,13,589.5
302,3.R,14,525.1
302,3.R,17,934.3
302,3.R,18,1041.9
302,3.R,19,920.7
302,3.R,20,1003.3
302,3.R,21,920.7
302,3.R,25,1584.5
302,3.R,26,1734.4
302,3.R,27,1760.5
302,3.R,28,2362.4
